image,ocr,corrected,gt,effect,gate_prob,gate_decision,cer_before,cer_after,cer_delta
images_group_62_9074_3718.png,его,его,Его,NOT_APPLIED,0.5696158121459881,False,1,1,0
images_group_62_9074_3719.png,Императорскому,Императорскому,Императорскому,NOT_APPLIED,0.06315783267505859,False,0,0,0
images_group_62_9074_3720.png,Воличеству.,Воличеству.,Величеству.,NOT_APPLIED,0.5169345528151739,False,1,1,0
images_group_62_9074_3721.png,Енисейскаго,Енисейскаго,Енисейского,NOT_APPLIED,0.21032023548848328,False,1,1,0
images_group_62_9074_3722.png,Губернатора,Губернатора,Губернатора.,NOT_APPLIED,0.4640126100389405,False,1,1,0
images_group_62_9074_3723.png,Рапортъ,Рапортъ,Рапортъ,NOT_APPLIED,0.2047975949962258,False,0,0,0
images_group_62_9074_3724.png,Всеподданнѣйше,Всеподданнѣйше,Всеподданными,NOT_APPLIED,0.9569767664945154,True,4,4,0
images_group_62_9074_3725.png,допосъ,допосъ,донося,NOT_APPLIED,0.9850192893947756,True,2,2,0
images_group_62_9074_3726.png,Вашему,Вашему,Вашему,NOT_APPLIED,0.1615644746744643,False,0,0,0
images_group_62_9074_3727.png,Импе,Импе,Импе,NOT_APPLIED,0.3050582004287378,False,0,0,0
images_group_62_9074_3728.png,раторскому,раторскому,раторскому,NOT_APPLIED,0.09446154397434599,False,0,0,0
images_group_62_9074_3729.png,"Величеству,","Величеству,","Величеству,",NOT_APPLIED,0.5081516125447499,False,0,0,0
images_group_62_9074_3730.png,что,что,что,NOT_APPLIED,0.1437275112646251,False,0,0,0
images_group_62_9074_3731.png,во,во,во,NOT_APPLIED,0.44316874177722004,False,0,0,0
images_group_62_9074_3733.png,ренной,ренной,ренной,NOT_APPLIED,0.48772758664917826,False,0,0,0
images_group_62_9074_3734.png,управленію,управленію,управленію,NOT_APPLIED,0.36052622073049767,False,0,0,0
images_group_62_9074_3735.png,моему,моему,моему,NOT_APPLIED,0.13597785300476278,False,0,0,0
images_group_62_9074_3736.png,губерніи,губерніи,губерніи,NOT_APPLIED,0.3271736724505176,False,0,0,0
images_group_62_9074_3737.png,все,все,все,NOT_APPLIED,0.7798814074421182,True,0,0,0
images_group_62_9074_3738.png,состоитъ,состоитъ,состоитъ,NOT_APPLIED,0.42938478100135447,False,0,0,0
images_group_62_9074_3739.png,"благопосично,","благопосично,","благопослучно,",NOT_APPLIED,0.7081319764094173,False,2,2,0
images_group_62_9074_3741.png,на,на,на,NOT_APPLIED,0.2327673613963964,False,0,0,0
images_group_62_9074_3742.png,Высочайшее,Высочайшее,Высочайшее,NOT_APPLIED,0.7691884344036007,True,0,0,0
images_group_62_9074_3743.png,усмотрѣніе,усмотрѣніе,усмотреніе,NOT_APPLIED,0.6325528976269937,False,1,1,0
images_group_62_9074_3744.png,Ваше,Ваше,Ваше,NOT_APPLIED,0.21592148268673492,False,0,0,0
images_group_62_9074_3745.png,годовой,годовой,годовой,NOT_APPLIED,0.30055477813818904,False,0,0,0
images_group_62_9074_3746.png,отчетъ,отчетъ,отчетъ,NOT_APPLIED,0.10708571058020759,False,0,0,0
images_group_62_9074_3747.png,о,о,о,NOT_APPLIED,0.5515265529128638,False,0,0,0
images_group_62_9074_3748.png,состояніи,состояніи,состояніи,NOT_APPLIED,0.39892172616610294,False,0,0,0
images_group_62_9074_3749.png,губерніи,губерніи,губерніи,NOT_APPLIED,0.3271736724505176,False,0,0,0
images_group_62_9074_3750.png,за,за,за,NOT_APPLIED,0.5964224905805069,False,0,0,0
images_group_62_9074_3752.png,года,года,года,NOT_APPLIED,0.2650734518068172,False,0,0,0
images_group_62_9074_3753.png,Подписалъ:,Подписалъ:,Подписанъ:,NOT_APPLIED,0.8183399425211857,True,1,1,0
images_group_62_9074_3754.png,"Губернаторъ,","Губернаторъ,","Губернаторъ,",NOT_APPLIED,0.1678916975210338,False,0,0,0
images_group_62_9074_3755.png,Генералъ,Генералъ,Генералъ,NOT_APPLIED,0.2238195525502647,False,0,0,0
images_group_62_9074_3756.png,Лейтенантъ,Лейтенантъ,Лейтенантъ,NOT_APPLIED,0.47648795700683716,False,0,0,0
images_group_62_9074_3760.png,день,день,для,NOT_APPLIED,0.6531474680096574,False,3,3,0
images_group_62_9074_3763.png,Красноярскъ,Красноярскъ,Красноярскъ,NOT_APPLIED,0.12564084935852632,False,0,0,0
images_group_62_909_5796.png,Капиталъ,Капиталъ,Капиталъ,NOT_APPLIED,0.42408643006661884,False,0,0,0
images_group_62_909_5797.png,сей,сей,сей,NOT_APPLIED,0.47056070766363933,False,0,0,0
images_group_62_909_5798.png,состоить,состоить,состоитъ,NOT_APPLIED,0.8537856973416816,True,1,1,0
images_group_62_909_5799.png,въ,въ,въ,NOT_APPLIED,0.11189811224042889,False,0,0,0
images_group_62_909_5800.png,распо-,распо-,распо-,NOT_APPLIED,0.6730858828159927,False,0,0,0
images_group_62_909_5801.png,ряженіи,ряженіи,ряженіи,NOT_APPLIED,0.0449029766441602,False,0,0,0
images_group_62_909_5802.png,Енисейскаго,Енисейскаго,Енисейскаго,NOT_APPLIED,0.21032023548848328,False,0,0,0
images_group_62_909_5804.png,Прав-,Прав-,Прав-,NOT_APPLIED,0.21915447490220366,False,0,0,0
images_group_62_909_5805.png,ленія,ленія,ленія,NOT_APPLIED,0.6312471650225805,False,0,0,0
images_group_62_909_5806.png,и числится,и числится,и числится,NOT_APPLIED,0.21809769720684785,False,0,0,0
images_group_62_909_5807.png,по,по,по,NOT_APPLIED,0.20967075088611947,False,0,0,0
images_group_62_909_5808.png,счетамъ,счетамъ,счетамъ,NOT_APPLIED,0.10569652154830532,False,0,0,0
images_group_62_909_5809.png,Казна,Казна,Казна,NOT_APPLIED,0.3266928367025466,False,0,0,0
images_group_62_909_5810.png,чействъ,чействъ,чействъ,NOT_APPLIED,0.4917580152292728,False,0,0,0
images_group_62_909_5811.png,въ,въ,въ,NOT_APPLIED,0.11189811224042889,False,0,0,0
images_group_62_909_5812.png,партикулярныхъ,партикулярныхъ,партикулярныхъ,NOT_APPLIED,0.011638102165591531,False,0,0,0
images_group_62_909_5813.png,суммахъ,суммахъ,суммахъ,NOT_APPLIED,0.21082026861666156,False,0,0,0
images_group_62_909_5814.png,сего,сего,сего,NOT_APPLIED,0.299865887783158,False,0,0,0
